Cover_Type,Cover_Long,Max_Coverage_pct,Temp_Celsius,Wind_Speed,Wind_Direction,Visibility,Date
OVC,Overcast,1.00,-7.2,3,40,10,2023-01-13
OVC,Overcast,1.00,-7.2,3,320,10,2023-01-13
OVC,Overcast,1.00,-7.2,4,240,10,2023-01-13
OVC,Overcast,1.00,-7.2,5,330,10,2023-01-13
OVC,Overcast,1.00,-6.7,5,250,10,2023-01-13
OVC,Overcast,1.00,-6.7,0,0,9,2023-01-13
OVC,Overcast,1.00,-6.7,0,0,9,2023-01-13
OVC,Overcast,1.00,-7.2,5,260,10,2023-01-13
OVC,Overcast,1.00,-7.8,3,210,10,2023-01-13
OVC,Overcast,1.00,-8.3,7,230,9,2023-01-13
OVC,Overcast,1.00,-8.9,5,190,8,2023-01-14
OVC,Overcast,1.00,-9.4,6,210,6,2023-01-14
OVC,Overcast,1.00,-9.4,6,170,5,2023-01-14
OVC,Overcast,1.00,-9.4,5,180,5,2023-01-14
OVC,Overcast,1.00,-10,8,160,5,2023-01-14
OVC,Overcast,1.00,-10,9,170,5,2023-01-14
OVC,Overcast,1.00,-11,10,170,7,2023-01-14
OVC,Overcast,1.00,-10.6,9,180,7,2023-01-14
OVC,Overcast,1.00,-10,10,140,7,2023-01-14
OVC,Overcast,1.00,-10,9,150,8,2023-01-14
OVC,Overcast,1.00,-9.4,9,140,9,2023-01-14
OVC,Overcast,1.00,-8.9,13,160,10,2023-01-14
SCT,Scattered,0.50,-8.9,8,140,10,2023-01-14
SCT,Scattered,0.50,-8.3,7,150,9,2023-01-14
SCT,Scattered,0.50,-7.8,9,140,10,2023-01-14
BKN,Broken,0.88,-6.7,11,160,10,2023-01-14
BKN,Broken,0.88,-4.4,12,170,10,2023-01-14
BKN,Broken,0.88,-3.3,10,160,10,2023-01-14
OVC,Overcast,1.00,-2.8,14,160,10,2023-01-14
OVC,Overcast,1.00,-2.2,15,160,10,2023-01-14
OVC,Overcast,1.00,-2.2,10,160,10,2023-01-14
OVC,Overcast,1.00,-1.1,9,160,10,2023-01-14
BKN,Broken,0.88,-1.1,12,150,10,2023-01-14
BKN,Broken,0.88,-1.1,9,160,10,2023-01-14
BKN,Broken,0.88,-0.6,13,170,10,2023-01-15
