Type,Station,Observed_Date,Temp_Celsius,DewPoint_Celsius,Wind_Speed,Wind_Direction,Cover,Visibility,Observation,Logged_Date
"METAR","KMSP","2022-12-29T18:53:00Z",2.2,-1.1,3,240,"OVC",7,"KMSP 291853Z 24003KT 7SM OVC095 02/M01 A2963 RMK AO2 SLP041 T00221011",2022.12.29-13.55.01
"METAR","KMSP","2022-12-29T19:53:00Z",2.2,-1.1,7,320,"OVC",7,"KMSP 291953Z 32007KT 7SM OVC095 02/M01 A2961 RMK AO2 SLP036 T00221011",2022.12.29-14.55.01
"METAR","KMSP","2022-12-29T20:53:00Z",2.2,-1.7,4,330,"BKN",8,"KMSP 292053Z 33004KT 8SM FEW016 BKN090 BKN250 02/M02 A2964 RMK AO2 SLP044 T00221017 55000",2022.12.29-15.55.01
"METAR","KMSP","2022-12-29T21:53:00Z",1.7,-1.7,3,290,"OVC",8,"KMSP 292153Z 29003KT 8SM FEW018 OVC085 02/M02 A2966 RMK AO2 SLP053 T00171017",2022.12.29-16.55.01
"METAR","KMSP","2022-12-29T22:53:00Z",1.7,-1.7,6,330,"BKN",9,"KMSP 292253Z 33006KT 9SM SCT018 BKN095 02/M02 A2966 RMK AO2 SLP052 T00171017",2022.12.29-17.55.01
"METAR","KMSP","2022-12-29T23:53:00Z",0.6,-2.2,6,290,"OVC",8,"KMSP 292353Z 29006KT 8SM OVC016 01/M02 A2970 RMK AO2 SLP065 4/006 T00061022 10028 20006 53021",2022.12.29-18.55.01
"METAR","KMSP","2022-12-30T01:49:00Z",0,-3,11,320,"OVC",9,"KMSP 300149Z 32011KT 9SM OVC015 00/M03 A2970 RMK AO2",2022.12.29-19.55.01
"METAR","KMSP","2022-12-30T02:17:00Z",-1.1,-3.3,12,300,"OVC",7,"KMSP 300217Z 30012KT 7SM BKN012 OVC017 M01/M03 A2969 RMK AO2 T10111033",2022.12.29-20.55.01
"METAR","KMSP","2022-12-30T03:45:00Z",-2.8,-5,12,290,"OVC",2.5,"KMSP 300345Z 29012KT 2 1/2SM -SN BR BKN012 BKN035 OVC055 M03/M05 A2973 RMK AO2 SNB27 P0000 T10281050",2022.12.29-21.55.01
"METAR","KMSP","2022-12-30T04:47:00Z",-5,-7,12,280,"OVC",2,"KMSP 300447Z 28012KT 2SM -SN BR SCT013 BKN030 OVC040 M05/M07 A2976 RMK AO2 SFC VIS 3 P0001",2022.12.29-22.55.01
"METAR","KMSP","2022-12-30T05:46:00Z",-6.7,-8.9,12,280,"BKN",6,"KMSP 300546Z 28012KT 6SM BR BKN012 BKN030 M07/M09 A2980 RMK AO2 SNE41 P0000 T10671089",2022.12.29-23.55.01
"METAR","KMSP","2022-12-30T06:48:00Z",-7,-10,10,280,"OVC",10,"KMSP 300648Z 28010KT 10SM BKN013 OVC022 M07/M10 A2983 RMK AO2",2022.12.30-00.55.01
"METAR","KMSP","2022-12-30T07:11:00Z",-7.2,-10.6,11,270,"OVC",10,"KMSP 300711Z 27011KT 10SM OVC015 M07/M11 A2984 RMK AO2 T10721106",2022.12.30-01.55.01
"METAR","KMSP","2022-12-30T08:00:00Z",-7.8,-10.6,10,280,"OVC",10,"KMSP 300800Z 28010KT 10SM OVC013 M08/M11 A2987 RMK AO2 T10781106",2022.12.30-02.55.01
"METAR","KMSP","2022-12-30T08:53:00Z",-7.8,-10.6,10,280,"OVC",10,"KMSP 300853Z 28010KT 10SM OVC010 M08/M11 A2988 RMK AO2 SLP130 T10781106 53016",2022.12.30-03.55.01
"METAR","KMSP","2022-12-30T09:53:00Z",-7.8,-10.6,10,270,"OVC",10,"KMSP 300953Z 27010KT 10SM OVC011 M08/M11 A2991 RMK AO2 SLP141 T10781106",2022.12.30-04.55.01
"METAR","KMSP","2022-12-30T10:53:00Z",-7.8,-11.1,8,250,"OVC",10,"KMSP 301053Z 25008KT 10SM OVC014 M08/M11 A2995 RMK AO2 SLP153 T10781111",2022.12.30-05.55.01
"METAR","KMSP","2022-12-30T11:53:00Z",-7.8,-11.1,9,270,"OVC",10,"KMSP 301153Z 27009KT 10SM OVC013 M08/M11 A2996 RMK AO2 SLP159 4/007 70002 T10781111 11067 21078 51028",2022.12.30-06.55.01
"METAR","KMSP","2022-12-30T13:18:00Z",-7.8,-11.1,10,280,"OVC",10,"KMSP 301318Z 28010KT 10SM SCT014 OVC020 M08/M11 A2999 RMK AO2 T10781111",2022.12.30-07.55.01
"METAR","KMSP","2022-12-30T13:53:00Z",-7.8,-11.7,10,270,"OVC",10,"KMSP 301353Z 27010KT 10SM OVC019 M08/M12 A3000 RMK AO2 SLP172 T10781117",2022.12.30-08.55.01
"METAR","KMSP","2022-12-30T14:53:00Z",-8.3,-11.7,9,290,"OVC",10,"KMSP 301453Z 29009KT 10SM OVC018 M08/M12 A3002 RMK AO2 SLP178 T10831117 51018",2022.12.30-09.55.01
"METAR","KMSP","2022-12-30T16:28:00Z",-6.7,-11.1,6,260,"SCT",10,"KMSP 301628Z 26006KT 10SM SCT019 SCT250 M07/M11 A3002 RMK AO2 T10671111",2022.12.30-10.55.01
"METAR","KMSP","2022-12-30T16:53:00Z",-6.7,-11.1,5,260,"FEW",10,"KMSP 301653Z 26005KT 10SM FEW020 FEW250 M07/M11 A3002 RMK AO2 SLP181 T10671111",2022.12.30-11.55.01
"METAR","KMSP","2022-12-30T17:53:00Z",-6.1,-11.7,8,270,"FEW",10,"KMSP 301753Z 27008KT 10SM FEW020 FEW250 M06/M12 A3002 RMK AO2 SLP181 4/006 T10611117 11061 21083 51002",2022.12.30-12.55.01
"METAR","KMSP","2022-12-30T18:53:00Z",-6.1,-11.1,8,250,"FEW",10,"KMSP 301853Z 25008KT 10SM FEW020 FEW250 M06/M11 A3000 RMK AO2 SLP175 T10611111",2022.12.30-13.55.01
"METAR","KMSP","2022-12-30T19:53:00Z",-5,-11.1,6,260,"FEW",10,"KMSP 301953Z 26006KT 10SM FEW250 M05/M11 A2999 RMK AO2 SLP169 T10501111",2022.12.30-14.55.01
"METAR","KMSP","2022-12-30T20:53:00Z",-4.4,-11.1,4,250,"FEW",10,"KMSP 302053Z 25004KT 10SM FEW250 M04/M11 A2998 RMK AO2 SLP165 T10441111 56016",2022.12.30-15.55.01
"METAR","KMSP","2022-12-30T21:53:00Z",-5,-11.1,5,180,"FEW",10,"KMSP 302153Z 18005KT 10SM FEW250 M05/M11 A3001 RMK AO2 SLP176 T10501111",2022.12.30-16.55.01
